,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,Channel,Date,Start time,Programme Title,End time,Dur min,'000 (U/W) Children,Share Children,TVR Children,'000 (U/W) 55+ Adults,Share 55+ Adults,TVR 55+ Adults,'000 (U/W) 16-34 Adults,Share 16-34 Adults,TVR 16-34 Adults,'000 (U/W) 45-54 Adults,Share 45-54 Adults,TVR 45-54 Adults,'000 (U/W) 16-44 Adults,Share 16-44 Adults,TVR 16-44 Adults
0,tt0002445,quo vadis?,Quo Vadis?,1913,1913-03-01,"Drama, History",120.0,Italy,Italian,Enrico Guazzoni,"Henryk Sienkiewicz, Enrico Guazzoni",Società Italiana Cines,"Amleto Novelli, Gustavo Serena, Carlo Cattaneo, Amelia Cattaneo, Lea Giunchi, Bruto Castellani, Augusto Mastripietri, Cesare Moltini, Olga Brandini, Ignazio Lupi, Giovanni Gizzi, Lia Orlandini, Matilde Guillaume, Ida Carloni Talli, Giuseppe Gambardella","An epic Italian film ""Quo Vadis"" influenced many of the later movies.",6.2,273.0,ITL 45000,,,,7.0,5.0,BBC 2,07/08/2014,13:30:15,quo vadis?,16:11:56,161.0,0.3,0.0352,0.00345,147.1,4.7979,0.82464,5.9,0.5791,0.03936,29.7,4.0524,0.33518,14.1,0.875,0.06101
1,tt0002445,quo vadis?,Quo Vadis?,1913,1913-03-01,"Drama, History",120.0,Italy,Italian,Enrico Guazzoni,"Henryk Sienkiewicz, Enrico Guazzoni",Società Italiana Cines,"Amleto Novelli, Gustavo Serena, Carlo Cattaneo, Amelia Cattaneo, Lea Giunchi, Bruto Castellani, Augusto Mastripietri, Cesare Moltini, Olga Brandini, Ignazio Lupi, Giovanni Gizzi, Lia Orlandini, Matilde Guillaume, Ida Carloni Talli, Giuseppe Gambardella","An epic Italian film ""Quo Vadis"" influenced many of the later movies.",6.2,273.0,ITL 45000,,,,7.0,5.0,BBC 2,11/02/2017,13:00:43,quo vadis?,15:42:25,161.0,24.4,1.8531,0.27144,415.5,7.2535,2.19609,54.0,2.6611,0.37223,66.1,3.4151,0.73233,71.8,2.1447,0.31958
2,tt0002445,quo vadis?,Quo Vadis?,1913,1913-03-01,"Drama, History",120.0,Italy,Italian,Enrico Guazzoni,"Henryk Sienkiewicz, Enrico Guazzoni",Società Italiana Cines,"Amleto Novelli, Gustavo Serena, Carlo Cattaneo, Amelia Cattaneo, Lea Giunchi, Bruto Castellani, Augusto Mastripietri, Cesare Moltini, Olga Brandini, Ignazio Lupi, Giovanni Gizzi, Lia Orlandini, Matilde Guillaume, Ida Carloni Talli, Giuseppe Gambardella","An epic Italian film ""Quo Vadis"" influenced many of the later movies.",6.2,273.0,ITL 45000,,,,7.0,5.0,BBC 2,11/02/2017,13:16:00,quo vadis?,15:57:42,161.0,0.0,0.0,0.0,32.3,0.5484,0.17072,0.1,0.005,0.00069,5.5,0.2757,0.06094,0.8,0.0238,0.00356
3,tt0002445,quo vadis?,Quo Vadis?,1913,1913-03-01,"Drama, History",120.0,Italy,Italian,Enrico Guazzoni,"Henryk Sienkiewicz, Enrico Guazzoni",Società Italiana Cines,"Amleto Novelli, Gustavo Serena, Carlo Cattaneo, Amelia Cattaneo, Lea Giunchi, Bruto Castellani, Augusto Mastripietri, Cesare Moltini, Olga Brandini, Ignazio Lupi, Giovanni Gizzi, Lia Orlandini, Matilde Guillaume, Ida Carloni Talli, Giuseppe Gambardella","An epic Italian film ""Quo Vadis"" influenced many of the later movies.",6.2,273.0,ITL 45000,,,,7.0,5.0,BBC 2,17/08/2017,14:31:25,quo vadis?,17:13:07,161.0,3.3,0.5143,0.03651,193.8,5.0272,1.0146,2.3,0.2788,0.01592,21.2,2.3338,0.23535,5.5,0.3807,0.02456
89,tt0011588,pollyanna,Pollyanna,1920,1920-01-18,"Family, Comedy, Drama",58.0,USA,English,Paul Powell,"Eleanor H. Porter, Catherine Chisholm Cushing",Mary Pickford Company,"Mary Pickford, Wharton James, Katherine Griffith, Helen Jerome Eddy, George Berrell, Howard Ralston, William Courtleigh, Herbert Prior",An orphan's optimistic outlook brings a change to the ill-tempered town in which she resides to her aunt.,6.4,355.0,$ 300000,,,,15.0,2.0,BBC 2,10/07/2016,13:00:26,pollyanna,15:09:18,128.0,30.1,2.576,0.33722,367.7,5.5042,1.97486,40.9,1.7604,0.28052,81.0,3.2139,0.8996,81.4,1.9328,0.36094
104,tt0013515,the prisoner of zenda,The Prisoner of Zenda,1922,1922-09-11,"Adventure, Romance",125.0,USA,None,Rex Ingram,"Anthony Hope, Mary O'Hara",Metro Pictures Corporation,"Lewis Stone, Alice Terry, Robert Edeson, Stuart Holmes, Ramon Novarro, Barbara La Marr, Malcolm McGregor, Edward Connelly, Lois Lee, John George, Snitz Edwards, Fairfax Burger, S.E. Jennings","When the king is drugged and abducted by his ambitious brother, a lookalike relative must take his place to keep the evil sibling off the throne.",6.7,452.0,$ 323062,,,,16.0,5.0,BBC 2,10/05/2014,16:22:22,the prisoner of zenda,17:58:36,96.0,10.1,0.6941,0.1156,372.1,6.4949,2.09232,8.3,0.3937,0.05522,88.4,4.0395,0.99718,37.6,1.0429,0.16205
105,tt0013515,the prisoner of zenda,The Prisoner of Zenda,1922,1922-09-11,"Adventure, Romance",125.0,USA,None,Rex Ingram,"Anthony Hope, Mary O'Hara",Metro Pictures Corporation,"Lewis Stone, Alice Terry, Robert Edeson, Stuart Holmes, Ramon Novarro, Barbara La Marr, Malcolm McGregor, Edward Connelly, Lois Lee, John George, Snitz Edwards, Fairfax Burger, S.E. Jennings","When the king is drugged and abducted by his ambitious brother, a lookalike relative must take his place to keep the evil sibling off the throne.",6.7,452.0,$ 323062,,,,16.0,5.0,BBC 2,10/05/2014,17:22:25,the prisoner of zenda,18:58:39,96.0,0.1,0.0059,0.00114,59.1,0.8069,0.33232,2.1,0.0888,0.01397,8.4,0.325,0.09475,6.9,0.1613,0.02974
106,tt0013515,the prisoner of zenda,The Prisoner of Zenda,1922,1922-09-11,"Adventure, Romance",125.0,USA,None,Rex Ingram,"Anthony Hope, Mary O'Hara",Metro Pictures Corporation,"Lewis Stone, Alice Terry, Robert Edeson, Stuart Holmes, Ramon Novarro, Barbara La Marr, Malcolm McGregor, Edward Connelly, Lois Lee, John George, Snitz Edwards, Fairfax Burger, S.E. Jennings","When the king is drugged and abducted by his ambitious brother, a lookalike relative must take his place to keep the evil sibling off the throne.",6.7,452.0,$ 323062,,,,16.0,5.0,BBC 2,17/05/2014,17:01:00,the prisoner of zenda,18:37:14,96.0,0.0,0.0,0.0,5.5,0.0897,0.03093,0.1,0.0041,0.00067,2.4,0.0967,0.02707,0.3,0.0069,0.00129
107,tt0013515,the prisoner of zenda,The Prisoner of Zenda,1922,1922-09-11,"Adventure, Romance",125.0,USA,None,Rex Ingram,"Anthony Hope, Mary O'Hara",Metro Pictures Corporation,"Lewis Stone, Alice Terry, Robert Edeson, Stuart Holmes, Ramon Novarro, Barbara La Marr, Malcolm McGregor, Edward Connelly, Lois Lee, John George, Snitz Edwards, Fairfax Burger, S.E. Jennings","When the king is drugged and abducted by his ambitious brother, a lookalike relative must take his place to keep the evil sibling off the throne.",6.7,452.0,$ 323062,,,,16.0,5.0,BBC 2,14/08/2016,13:00:58,the prisoner of zenda,14:37:12,96.0,8.3,0.9331,0.09293,500.6,10.8184,2.6872,52.8,3.0931,0.36184,101.6,6.6077,1.12726,91.3,3.2578,0.40455
108,tt0013515,the prisoner of zenda,The Prisoner of Zenda,1922,1922-09-11,"Adventure, Romance",125.0,USA,None,Rex Ingram,"Anthony Hope, Mary O'Hara",Metro Pictures Corporation,"Lewis Stone, Alice Terry, Robert Edeson, Stuart Holmes, Ramon Novarro, Barbara La Marr, Malcolm McGregor, Edward Connelly, Lois Lee, John George, Snitz Edwards, Fairfax Burger, S.E. Jennings","When the king is drugged and abducted by his ambitious brother, a lookalike relative must take his place to keep the evil sibling off the throne.",6.7,452.0,$ 323062,,,,16.0,5.0,BBC 2,27/05/2017,08:22:30,the prisoner of zenda,09:58:45,96.0,0.7,0.0815,0.00777,166.4,6.5237,0.8757,18.7,2.3104,0.12956,32.7,3.6504,0.36253,29.0,1.8804,0.12962
